record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:source,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:rights,record - metadata - oai_dc:dc - dc:relation,record - header - identifier
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_010.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_010.cmdi
,GEWISS_R_SV_UK_010.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_011.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_011.cmdi
,GEWISS_R_SV_UK_011.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_012.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_012.cmdi
,GEWISS_R_SV_UK_012.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_013.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_013.cmdi
,GEWISS_R_SV_UK_013.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_034.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_034.cmdi
,GEWISS_R_SV_UK_034.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_035.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_035.cmdi
,GEWISS_R_SV_UK_035.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_S_AA_0429.cmdi,,pol,deu,Amelia Ananas,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_S_AA_0429.cmdi
,GEWISS_S_AA_0429.cmdi,,pol,,,,,,,,,,,,,,
,,,deu,,,,,,,,,,,,,,
,,,deu,,,,,,,,,,,,,,
,,,eng,,,,,,,,,,,,,,
,,,eng,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_S_AA_0699.cmdi,,swa,deu,Ahmed Arab,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_S_AA_0699.cmdi
,GEWISS_S_AA_0699.cmdi,,eng,,,,,,,,,,,,,,
,,,eng,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_S_AB_0607.cmdi,,eng,deu,Abraham Bentleyman,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_S_AB_0607.cmdi
,GEWISS_S_AB_0607.cmdi,,eng,,,,,,,,,,,,,,
,,,deu,,,,,,,,,,,,,,
,,,deu,,,,,,,,,,,,,,
